sample_id,fish,age,replicate,condition
fish1_s3_rep1,1,7,1,edited
fish1_s3_rep2,1,7,2,edited
fish1_s3_rep3,1,7,3,edited
fish1_s4_rep1,1,8,1,edited
fish1_s4_rep2,1,8,2,edited
fish1_s4_rep3,1,8,3,edited
fish1_s5_rep1,1,9,1,edited
fish1_s5_rep2,1,9,2,edited
fish1_s5_rep3,1,9,3,edited
fish1_s6_rep1,1,10,1,edited
fish1_s6_rep2,1,10,2,edited
fish1_s6_rep3,1,10,3,edited
fish1_s7_rep1,1,11,1,edited
fish1_s7_rep2,1,11,2,edited
fish1_s7_rep3,1,11,3,edited
fish1_s8_rep1,1,12,1,edited
fish1_s8_rep2,1,12,2,edited
fish1_s8_rep3,1,12,3,edited
fish1_s9_rep1,1,13,1,edited
fish1_s9_rep3,1,13,3,edited
fish1_s10_rep1,1,14,1,edited
fish1_s10_rep2,1,14,2,edited
fish1_s10_rep3,1,14,3,edited
fish1_s11_rep1,1,15,1,edited
fish1_s11_rep2,1,15,2,edited
fish1_s11_rep3,1,15,3,edited
fish1_s12_rep1,1,16,1,edited
fish1_s12_rep2,1,16,2,edited
fish1_s12_rep3,1,16,3,edited
fish5_s3_rep1,5,7,1,edited
fish5_s3_rep2,5,7,2,edited
fish5_s3_rep3,5,7,3,edited
fish5_s4_rep1,5,8,1,edited
fish5_s4_rep2,5,8,2,edited
fish5_s4_rep3,5,8,3,edited
fish5_s5_rep1,5,9,1,edited
fish5_s5_rep2,5,9,2,edited
fish5_s5_rep3,5,9,3,edited
fish5_s6_rep1,5,10,1,edited
fish5_s6_rep2,5,10,2,edited
fish5_s6_rep3,5,10,3,edited
fish5_s7_rep1,5,11,1,edited
fish5_s7_rep2,5,11,2,edited
fish5_s7_rep3,5,11,3,edited
fish5_s8_rep1,5,12,1,edited
fish5_s8_rep2,5,12,2,edited
fish5_s8_rep3,5,12,3,edited
fish5_s9_rep1,5,13,1,edited
fish5_s9_rep2,5,13,2,edited
fish5_s9_rep3,5,13,3,edited
fish5_s10_rep1,5,14,1,edited
fish5_s10_rep2,5,14,2,edited
fish5_s10_rep3,5,14,3,edited
fish5_s11_rep1,5,15,1,edited
fish5_s11_rep2,5,15,2,edited
fish5_s11_rep3,5,15,3,edited
fish5_s12_rep1,5,16,1,edited
fish5_s12_rep2,5,16,2,edited
fish5_s12_rep3,5,16,3,edited
fish10_s8_rep1,10,12,1,edited
fish10_s8_rep2,10,12,2,edited
fish10_s8_rep3,10,12,3,edited
fish10_s9_rep1,10,13,1,edited
fish10_s9_rep2,10,13,2,edited
fish10_s9_rep3,10,13,3,edited
fish10_s10_rep1,10,14,1,edited
fish10_s10_rep2,10,14,2,edited
fish10_s10_rep3,10,14,3,edited
fishctrl3_s3_rep1,ctrl3,7,1,control
fishctrl3_s3_rep2,ctrl3,7,2,control
fishctrl3_s3_rep3,ctrl3,7,3,control
fishctrl3_s5_rep1,ctrl3,9,1,control
fishctrl3_s5_rep2,ctrl3,9,2,control
fishctrl3_s5_rep3,ctrl3,9,3,control
fishctrl3_s6_rep1,ctrl3,10,1,control
fishctrl3_s6_rep2,ctrl3,10,2,control
fishctrl3_s6_rep3,ctrl3,10,3,control
fishctrl3_s7_rep1,ctrl3,11,1,control
fishctrl3_s7_rep2,ctrl3,11,2,control
fishctrl3_s7_rep3,ctrl3,11,3,control
fishctrl3_s8_rep1,ctrl3,12,1,control
fishctrl3_s8_rep2,ctrl3,12,2,control
fishctrl3_s8_rep3,ctrl3,12,3,control
fishctrl3_s9_rep1,ctrl3,13,1,control
fishctrl3_s9_rep2,ctrl3,13,2,control
fishctrl3_s9_rep3,ctrl3,13,3,control
fishctrl3_s10_rep1,ctrl3,14,1,control
fishctrl3_s10_rep2,ctrl3,14,2,control
fishctrl3_s10_rep3,ctrl3,14,3,control
